[2022-07-23 12:07:01,017][django.server.log_message():161] [INFO] "PUT /user/role/d9b4b4797b554db8ae4ac4e22ec9f1s1/ HTTP/1.1" 200 317
[2022-07-23 12:07:02,325][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/menu/ with method: GET
[2022-07-23 12:07:02,326][django.server.log_message():161] [INFO] "GET /user/menu/ HTTP/1.1" 200 5195
[2022-07-23 12:11:17,719][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/user-menus/ with method: POST
[2022-07-23 12:11:17,720][django.server.log_message():161] [INFO] "POST /user/user-menus/ HTTP/1.1" 200 2708
[2022-07-23 12:11:18,026][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/role/ with method: GET
[2022-07-23 12:11:18,027][django.server.log_message():161] [INFO] "GET /user/role/ HTTP/1.1" 200 1186
[2022-07-23 12:11:19,876][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/menu/ with method: GET
[2022-07-23 12:11:19,876][django.server.log_message():161] [INFO] "GET /user/menu/ HTTP/1.1" 200 5195
[2022-07-23 12:11:21,402][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/role/d9b4b4797b554db8ae4ac4e22ec9f1s1/ with method: PUT
[2022-07-23 12:11:21,402][django.server.log_message():161] [INFO] "PUT /user/role/d9b4b4797b554db8ae4ac4e22ec9f1s1/ HTTP/1.1" 200 317
[2022-07-23 12:12:42,608][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/user-menus/ with method: POST
[2022-07-23 12:12:42,609][django.server.log_message():161] [INFO] "POST /user/user-menus/ HTTP/1.1" 200 2708
[2022-07-23 12:12:42,935][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/role/ with method: GET
[2022-07-23 12:12:42,936][django.server.log_message():161] [INFO] "GET /user/role/ HTTP/1.1" 200 1186
[2022-07-23 12:12:43,644][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/menu/ with method: GET
[2022-07-23 12:12:43,645][django.server.log_message():161] [INFO] "GET /user/menu/ HTTP/1.1" 200 5195
[2022-07-23 12:12:45,309][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/role/d9b4b4797b554db8ae4ac4e22ec9f1s1/ with method: PUT
[2022-07-23 12:12:45,310][django.server.log_message():161] [INFO] "PUT /user/role/d9b4b4797b554db8ae4ac4e22ec9f1s1/ HTTP/1.1" 200 317
